"","HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","Lat","Lon","NumValue"
"187","Measles","All cases","Age standardised rate","N/1000000",2012,"SK","Slovakia",48.6423179,17.0599442,"0.174856280"
"188","Measles","All cases","Age standardised rate","N/1000000",2012,"UK","United Kingdom",54.0895811,-15.0113976,"30.823008920"
"189","Measles","All cases","Age standardised rate","N/1000000",2013,"AT","Austria",47.6661908,10.7060663,"9.439102900"
"190","Measles","All cases","Age standardised rate","N/1000000",2013,"BE","Belgium",50.493573,3.1470018,"4.150783910"
"191","Measles","All cases","Age standardised rate","N/1000000",2013,"BG","Bulgaria",42.6950461,22.90301,"2.233196960"
"192","Measles","All cases","Age standardised rate","N/1000000",2013,"CY","Cyprus",35.1670131,32.7657497,"0.000000000"
"193","Measles","All cases","Age standardised rate","N/1000000",2013,"CZ","Czechia",49.7737786,12.8354699,"1.378352060"
"194","Measles","All cases","Age standardised rate","N/1000000",2013,"DE","Germany",51.0567272,5.1734704,"25.915638940"
"195","Measles","All cases","Age standardised rate","N/1000000",2013,"DK","Denmark",56.201989,8.9038344,"2.975040710"
"196","Measles","All cases","Age standardised rate","N/1000000",2013,"EE","Estonia",58.6436119,22.2937524,"1.528574630"
"197","Measles","All cases","Age standardised rate","N/1000000",2013,"EL","Greece",38.027144,19.0352981,"0.369080610"
"198","Measles","All cases","Age standardised rate","N/1000000",2013,"ES","Spain",35.3248265,-17.5870176,"2.849274370"
"199","Measles","All cases","Age standardised rate","N/1000000",2013,"EUEEA30_21","EU/EEA (without UK)",NA,NA,"20.745281000"
"200","Measles","All cases","Age standardised rate","N/1000000",2013,"EUEEAUK_21","EU/EEA (with UK until 2019)",NA,NA,"21.716158000"
"201","Measles","All cases","Age standardised rate","N/1000000",2013,"FI","Finland",64.4093773,15.3793338,"0.384404800"
"202","Measles","All cases","Age standardised rate","N/1000000",2013,"FR","France",45.6203343,-7.9821305,"3.979228250"
"203","Measles","All cases","Age standardised rate","N/1000000",2013,"HR","Croatia",44.4163476,13.7660704,"0.256771270"
"204","Measles","All cases","Age standardised rate","N/1000000",2013,"HU","Hungary",47.130825,16.8652846,"0.112073090"
"205","Measles","All cases","Age standardised rate","N/1000000",2013,"IE","Ireland",53.2667296,-13.4969127,"8.279453210"
"206","Measles","All cases","Age standardised rate","N/1000000",2013,"IS","Iceland",64.7707364,-24.5196408,"0.000000000"
"207","Measles","All cases","Age standardised rate","N/1000000",2013,"IT","Italy",40.8030637,2.118703,"43.967232740"
"208","Measles","All cases","Age standardised rate","N/1000000",2013,"LT","Lithuania",55.1450555,21.2444669,"12.543427320"
"209","Measles","All cases","Age standardised rate","N/1000000",2013,"LU","Luxembourg",49.8134791,5.4739377,"0.000000000"
"210","Measles","All cases","Age standardised rate","N/1000000",2013,"LV","Latvia",56.8523539,21.9054152,"0.000000000"
"211","Measles","All cases","Age standardised rate","N/1000000",2013,"MT","Malta",35.935038,14.2135383,"2.497753320"
"212","Measles","All cases","Age standardised rate","N/1000000",2013,"NL","Netherlands",52.1835446,2.6402164,"152.247171920"
"213","Measles","All cases","Age standardised rate","N/1000000",2013,"NO","Norway",63.0622908,-2.8732225,"1.456242150"
"214","Measles","All cases","Age standardised rate","N/1000000",2013,"PL","Poland",51.8354408,13.8542533,"2.160711270"
"215","Measles","All cases","Age standardised rate","N/1000000",2013,"PT","Portugal",35.5226149,-29.4418798,"0.099719380"
"216","Measles","All cases","Age standardised rate","N/1000000",2013,"RO","Romania",45.8199508,19.7359343,"59.900577640"
"217","Measles","All cases","Age standardised rate","N/1000000",2013,"SE","Sweden",60.4293287,-3.2645052,"5.315008080"
"218","Measles","All cases","Age standardised rate","N/1000000",2013,"SI","Slovenia",46.1414895,13.6668529,"0.466329040"
"219","Measles","All cases","Age standardised rate","N/1000000",2013,"SK","Slovakia",48.6423179,17.0599442,"0.000000000"
"220","Measles","All cases","Age standardised rate","N/1000000",2013,"UK","United Kingdom",54.0895811,-15.0113976,"28.498634480"
"221","Measles","All cases","Age standardised rate","N/1000000",2014,"AT","Austria",47.6661908,10.7060663,"15.040658790"
"222","Measles","All cases","Age standardised rate","N/1000000",2014,"BE","Belgium",50.493573,3.1470018,"6.490497570"
"223","Measles","All cases","Age standardised rate","N/1000000",2014,"BG","Bulgaria",42.6950461,22.90301,"0.000000000"
"224","Measles","All cases","Age standardised rate","N/1000000",2014,"CY","Cyprus",35.1670131,32.7657497,"11.002169680"
"225","Measles","All cases","Age standardised rate","N/1000000",2014,"CZ","Czechia",49.7737786,12.8354699,"20.797870130"
"226","Measles","All cases","Age standardised rate","N/1000000",2014,"DE","Germany",51.0567272,5.1734704,"6.515495780"
"227","Measles","All cases","Age standardised rate","N/1000000",2014,"DK","Denmark",56.201989,8.9038344,"5.593558550"
"228","Measles","All cases","Age standardised rate","N/1000000",2014,"EE","Estonia",58.6436119,22.2937524,"0.000000000"
"229","Measles","All cases","Age standardised rate","N/1000000",2014,"EL","Greece",38.027144,19.0352981,"0.095308920"
"230","Measles","All cases","Age standardised rate","N/1000000",2014,"ES","Spain",35.3248265,-17.5870176,"3.576816560"
"231","Measles","All cases","Age standardised rate","N/1000000",2014,"EUEEA30_21","EU/EEA (without UK)",NA,NA,"8.646515000"
"232","Measles","All cases","Age standardised rate","N/1000000",2014,"EUEEAUK_21","EU/EEA (with UK until 2019)",NA,NA,"7.823199000"
"233","Measles","All cases","Age standardised rate","N/1000000",2014,"FI","Finland",64.4093773,15.3793338,"0.404309670"
"234","Measles","All cases","Age standardised rate","N/1000000",2014,"FR","France",45.6203343,-7.9821305,"3.946150430"
