"url_bulletins","year","month","code_region","name_region","lat","lon","new_unclassified_cases","total_unclassified_cases","new_no_cases","total_no_cases","new_possible_cases","total_possible_cases","new_probable_cases","total_probable_cases","new_confirmed_cases","total_confirmed_cases","new_cases","total_cases","Unit","incidence"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_05.pdf",2014,"4",20,"Sardinia",39.21531192,9.110616306,1,1,0,0,11,11,0,9,9,15,20,35,NA,NA
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_06.pdf",2014,"5",1,"Piedmont",45.0732745,7.680687483,0,1,3,9,11,145,-37,182,37,167,11,494,NA,"11.0"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_06.pdf",2014,"5",2,"Aosta Valley",45.73750286,7.320149366,0,0,0,0,0,1,0,0,0,0,0,1,NA,"0.8"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_06.pdf",2014,"5",3,"Lombardy",45.46679409,9.190347404,-1,0,2,15,5,17,6,13,22,76,33,106,NA,"0.7"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_06.pdf",2014,"5",21,"AP Bolzano",46.49933453,11.35662422,-1,0,0,0,1,1,4,6,0,1,5,8,NA,"0.6"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_06.pdf",2014,"5",22,"AP Trento",46.06893511,11.12123097,0,0,0,0,0,2,1,2,0,1,1,5,NA,"0.8"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_06.pdf",2014,"5",5,"Veneto",45.43490485,12.33845213,1,1,2,5,2,2,4,5,23,40,29,47,NA,"0.4"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_06.pdf",2014,"5",6,"Friuli-Venezia Giulia",45.6494354,13.76813649,0,2,0,1,0,0,0,0,1,2,1,2,NA,"0.1"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_06.pdf",2014,"5",7,"Liguria",44.41149315,8.9326992,-1,0,1,5,11,69,0,50,4,70,15,189,NA,"11.1"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_06.pdf",2014,"5",8,"Emilia-Romagna",44.49436681,11.3417208,0,0,11,12,4,10,9,10,48,132,61,152,NA,"2.1"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_06.pdf",2014,"5",9,"Tuscany",43.76923077,11.25588885,0,0,1,2,-2,0,0,0,2,18,0,18,NA,"0.5"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_06.pdf",2014,"5",10,"Umbria",43.10675841,12.38824698,0,0,0,0,0,0,0,1,0,0,0,1,NA,"0.1"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_06.pdf",2014,"5",11,"Marche",43.61675973,13.5188753,0,1,0,0,1,1,0,0,0,11,1,12,NA,"0.7"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_06.pdf",2014,"5",12,"Lazio",41.89277044,12.48366722,0,1,2,2,4,22,2,4,6,42,12,68,NA,"1.0"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_06.pdf",2014,"5",13,"Abruzzo",42.35122196,13.39843823,0,0,0,0,0,1,0,1,0,13,0,15,NA,"1.1"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_06.pdf",2014,"5",14,"Molise",41.55774754,14.65916051,0,0,0,0,0,1,0,0,0,0,0,1,NA,"0.3"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_06.pdf",2014,"5",15,"Campania",40.83956555,14.25084984,0,0,0,0,3,4,1,1,5,6,9,11,NA,"0.0"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_06.pdf",2014,"5",16,"Apulia",41.12559576,16.86736689,1,1,0,1,8,16,0,4,7,40,15,60,NA,"1.1"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_06.pdf",2014,"5",17,"Basilicata",40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,0,0,0,NA,"0.0"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_06.pdf",2014,"5",18,"Calabria",38.90597598,16.59440194,0,0,0,0,0,0,0,1,0,11,0,12,NA,"0.6"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_06.pdf",2014,"5",19,"Sicily",38.11569725,13.3623566999999,0,0,1,1,0,0,0,0,0,3,0,3,NA,"0.1"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_06.pdf",2014,"5",20,"Sardinia",39.21531192,9.110616306,7,8,0,0,18,29,1,10,0,15,19,54,NA,"2.1"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_07.pdf",2014,"6",1,"Piedmont",45.0732745,7.680687483,-1,0,2,11,3,148,3,185,5,172,11,505,NA,"11.3"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_07.pdf",2014,"6",2,"Aosta Valley",45.73750286,7.320149366,0,0,0,0,0,1,0,0,0,0,0,1,NA,"0.8"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_07.pdf",2014,"6",3,"Lombardy",45.46679409,9.190347404,0,0,6,21,2,19,0,13,6,82,8,114,NA,"1.1"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_07.pdf",2014,"6",21,"AP Bolzano",46.49933453,11.35662422,0,0,0,0,1,2,0,6,0,1,1,9,NA,"1.6"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_07.pdf",2014,"6",22,"AP Trento",46.06893511,11.12123097,0,0,0,0,-1,1,-1,1,3,4,1,6,NA,"0.9"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_07.pdf",2014,"6",5,"Veneto",45.43490485,12.33845213,2,3,2,7,-1,1,6,11,5,45,10,57,NA,"1.0"
"https://github.com/fbranda/measles/blob/main/Italy/2014/bulletins/R%26M_News_2014_07.pdf",2014,"6",6,"Friuli-Venezia Giulia",45.6494354,13.76813649,0,2,0,1,0,0,0,0,0,2,0,2,NA,"0.2"
